날짜,시간,시간별단가,1호기(와트시)(1_3호),2호기(와트시)(4_6호),3호기(와트시)(7_10호),합계(와트시),합계(킬로와트시),호수위(ELm),해수위(ELm),일시,평균강수량(mm),낙차
2024-01-01,01:00,93.56,0.0,0.0,0.0,0.0,0.0,-1.52,-2.37,2024-01-01 01:00:00,0.0,-0.8500000000000001
2024-01-01,02:00,89.13,0.0,0.0,0.0,0.0,0.0,-2.24,-3.27,2024-01-01 02:00:00,0.0,-1.0299999999999998
2024-01-01,03:00,80.28,0.0,0.0,0.0,0.0,0.0,-2.62,-3.19,2024-01-01 03:00:00,0.0,-0.5699999999999998
2024-01-01,04:00,80.28,0.0,0.0,0.0,0.0,0.0,-2.57,-1.14,2024-01-01 04:00:00,0.0,1.43
2024-01-01,05:00,80.28,0.0,0.0,0.0,0.0,0.0,-2.55,0.2,2024-01-01 05:00:00,0.0,2.75
2024-01-01,06:00,80.28,38277709.61,31424756.94,17028743.05,86731209.6,86731.21,-2.04,2.09,2024-01-01 06:00:00,0.0,4.13
2024-01-01,07:00,80.28,48940394.94,55296382.69,25489739.04,129726516.67,129726.52,-2.02,3.12,2024-01-01 07:00:00,0.0,5.140000000000001
2024-01-01,08:00,89.13,59211619.21,52665484.25,24943991.44,136821094.9,136821.09,-1.81,3.16,2024-01-01 08:00:00,0.0,4.970000000000001
2024-01-01,09:00,90.5,45723910.22,49419801.35,20816437.13,115960148.7,115960.15,-1.3,2.02,2024-01-01 09:00:00,0.0,3.3200000000000003
2024-01-01,10:00,90.5,22064715.63,18256432.89,10469924.66,50791073.18,50791.07,-1.46,0.83,2024-01-01 10:00:00,0.0,2.29
2024-01-01,11:00,90.49,0.0,0.0,0.0,0.0,0.0,-0.97,-1.14,2024-01-01 11:00:00,0.0,-0.16999999999999993
2024-01-01,12:00,86.68,0.0,0.0,0.0,0.0,0.0,-1.06,-1.83,2024-01-01 12:00:00,0.0,-0.77
2024-01-01,13:00,86.5,0.0,0.0,0.0,0.0,0.0,-1.81,-2.66,2024-01-01 13:00:00,0.0,-0.8500000000000001
2024-01-01,14:00,86.58,0.0,0.0,0.0,0.0,0.0,-2.59,-3.13,2024-01-01 14:00:00,0.0,-0.54
2024-01-01,15:00,89.62,0.0,0.0,0.0,0.0,0.0,-2.84,-2.58,2024-01-01 15:00:00,0.0,0.2599999999999998
2024-01-01,16:00,114.99,0.0,0.0,0.0,0.0,0.0,-2.78,-1.54,2024-01-01 16:00:00,0.0,1.2399999999999998
2024-01-01,17:00,114.99,0.0,0.0,0.0,0.0,0.0,-2.74,-0.61,2024-01-01 17:00:00,0.0,2.1300000000000003
2024-01-01,18:00,114.99,41202867.5,43117933.4,17724656.9,102045457.8,102045.46,-2.66,0.53,2024-01-01 18:00:00,0.0,3.1900000000000004
2024-01-01,19:00,114.99,78026044.78,77891044.43,34585776.18,190502865.39,190502.87,-2.33,1.76,2024-01-01 19:00:00,0.0,4.09
2024-01-01,20:00,120.77,82515072.51,88350502.02,37818989.51,208684564.04,208684.56,-2.29,2.39,2024-01-01 20:00:00,0.0,4.68
2024-01-01,21:00,117.9,62405077.75,77228143.59,28609443.8,168242665.14,168242.67,-1.39,1.91,2024-01-01 21:00:00,0.0,3.3
2024-01-01,22:00,93.56,55888229.35,46958450.74,24152397.83,126999077.92,126999.08,-1.11,1.19,2024-01-01 22:00:00,0.0,2.3
2024-01-01,23:00,93.56,12584135.3,11095334.72,4605609.87,28285079.89,28285.08,-0.94,-0.23,2024-01-01 23:00:00,0.0,0.71
2024-01-02,01:00,93.56,0.0,0.0,0.0,0.0,0.0,-1.06,-1.11,2024-01-02 01:00:00,0.0,-0.050000000000000044
2024-01-02,02:00,80.09,0.0,0.0,0.0,0.0,0.0,-1.78,-1.87,2024-01-02 02:00:00,0.0,-0.09000000000000008
2024-01-02,03:00,77.53,0.0,0.0,0.0,0.0,0.0,-2.18,-1.37,2024-01-02 03:00:00,0.0,0.81
2024-01-02,04:00,77.53,0.0,0.0,0.0,0.0,0.0,-2.29,-0.92,2024-01-02 04:00:00,0.0,1.37
2024-01-02,05:00,77.53,0.0,0.0,0.0,0.0,0.0,-2.21,0.13,2024-01-02 05:00:00,0.0,2.34
2024-01-02,06:00,122.99,0.0,0.0,0.0,0.0,0.0,-2.46,1.26,2024-01-02 06:00:00,0.0,3.7199999999999998
2024-01-02,07:00,122.99,33660253.43,34407807.71,16943366.84,85011427.98,85011.43,-1.97,3.15,2024-01-02 07:00:00,0.0,5.12
2024-01-02,08:00,151.34,56265849.35,52836809.28,21548823.47,130651482.1,130651.48,-1.86,3.13,2024-01-02 08:00:00,0.0,4.99
2024-01-02,09:00,151.34,50803794.18,52366614.63,20001510.1,123171918.91,123171.92,-1.51,1.79,2024-01-02 09:00:00,0.0,3.3
2024-01-02,10:00,151.34,29102714.37,22490452.54,12260967.87,63854134.78,63854.13,-0.92,1.92,2024-01-02 10:00:00,0.0,2.84
2024-01-02,11:00,151.34,0.0,0.0,0.0,0.0,0.0,-1.18,0.3,2024-01-02 11:00:00,0.0,1.48
2024-01-02,12:00,188.25,0.0,0.0,0.0,0.0,0.0,-0.85,-1.64,2024-01-02 12:00:00,0.0,-0.7899999999999999
2024-01-02,13:00,190.83,0.0,0.0,0.0,0.0,0.0,-1.47,-1.25,2024-01-02 13:00:00,0.0,0.21999999999999997
2024-01-02,14:00,170.69,0.0,0.0,0.0,0.0,0.0,-2.45,-2.02,2024-01-02 14:00:00,0.0,0.43000000000000016
2024-01-02,15:00,170.69,0.0,0.0,0.0,0.0,0.0,-2.42,-2.78,2024-01-02 15:00:00,0.0,-0.3599999999999999
2024-01-02,16:00,170.69,0.0,0.0,0.0,0.0,0.0,-2.7,-2.18,2024-01-02 16:00:00,0.0,0.52
2024-01-02,17:00,170.69,0.0,0.0,0.0,0.0,0.0,-2.68,-1.13,2024-01-02 17:00:00,0.0,1.5500000000000003
2024-01-02,18:00,170.69,0.0,0.0,0.0,0.0,0.0,-2.59,-0.37,2024-01-02 18:00:00,0.0,2.2199999999999998
2024-01-02,19:00,166.63,48073039.3,42068441.31,20177378.67,110318859.28,110318.86,-2.22,0.87,2024-01-02 19:00:00,0.0,3.0900000000000003
2024-01-02,20:00,159.69,70974880.21,58930624.71,26754894.72,156660399.64,156660.4,-2.02,1.53,2024-01-02 20:00:00,0.0,3.55
2024-01-02,21:00,159.69,60962615.07,58656125.56,33449724.32,153068464.95,153068.46,-1.6,1.82,2024-01-02 21:00:00,0.0,3.42
2024-01-02,22:00,150.74,49832196.81,47338788.43,28856209.4,126027194.64,126027.19,-1.3,1.21,2024-01-02 22:00:00,0.0,2.51
2024-01-02,23:00,141.3,27484385.97,27556543.08,11984201.69,67025130.74,67025.13,-1.05,1.44,2024-01-02 23:00:00,0.0,2.49
2024-01-02,00:00,138.55,0.0,0.0,0.0,0.0,0.0,-1.25,0.73,2024-01-02 00:00:00,0.0,1.98
2024-01-03,01:00,134.88,0.0,0.0,0.0,0.0,0.0,-0.96,-0.81,2024-01-03 01:00:00,0.0,0.1499999999999999
2024-01-03,02:00,92.52,0.0,0.0,0.0,0.0,0.0,-1.25,-1.71,2024-01-03 02:00:00,0.0,-0.45999999999999996
2024-01-03,03:00,92.51,0.0,0.0,0.0,0.0,0.0,-1.96,-2.17,2024-01-03 03:00:00,0.0,-0.20999999999999996
